Employee_ID,Employee_Name,Department,City,Salary,Joining_Date
1001,Priya_1,Sales,Pune,52000,2022-08-02
1002,Meena_2,HR,Pune,41000,2020-05-16
1003,Riya_3,Sales,Delhi,62000,2022-10-17
1004,Rahul_4,Sales,Bangalore,49000,2019-03-07
1005,Isha_5,Sales,Delhi,47000,2021-10-31
1006,Riya_6,Finance,Bangalore,63000,2023-01-06
1007,Arjun_7,Sales,Bangalore,79000,2022-04-21
1008,Vikram_8,IT,Bangalore,48000,2021-05-15
1009,Vikram_9,Sales,Hyderabad,59000,2024-05-14
1010,Pooja_10,IT,Delhi,51000,2019-07-18
1011,Ananya_11,Finance,Delhi,42000,2023-07-11
1012,Amit_12,Sales,Delhi,53000,2024-06-15
1013,Isha_13,IT,Delhi,47000,2023-08-26
1014,Kiran_14,Sales,Pune,49000,2022-12-13
1015,Neha_15,Sales,Bangalore,90000,2023-05-03
1016,Amit_16,IT,Mumbai,75000,2019-07-26
1017,Pooja_17,HR,Chennai,57000,2023-09-05
1018,Arjun_18,Sales,Delhi,75000,2020-03-05
1019,Riya_19,HR,Bangalore,64000,2019-12-17
1020,Arjun_20,Marketing,Bangalore,78000,2021-02-16
1021,Ananya_21,HR,Hyderabad,86000,2020-10-26
1022,Amit_22,IT,Hyderabad,48000,2020-10-08
1023,Manoj_23,IT,Bangalore,76000,2024-02-14
1024,Amit_24,Finance,Bangalore,51000,2021-10-19
1025,Meena_25,Marketing,Delhi,51000,2019-10-13
1026,Manoj_26,Finance,Delhi,60000,2023-03-10
1027,Meena_27,HR,Delhi,66000,2021-01-11
1028,Ananya_28,Sales,Bangalore,75000,2019-07-06
1029,Kavya_29,Marketing,Hyderabad,59000,2019-11-24
1030,Isha_30,Finance,Delhi,51000,2021-02-20
1031,Riya_31,Sales,Pune,81000,2024-06-11
1032,Riya_32,IT,Pune,56000,2019-08-23
1033,Neha_33,Finance,Bangalore,64000,2019-08-17
1034,Arjun_34,Marketing,Bangalore,67000,2019-01-07
1035,Priya_35,IT,Pune,67000,2024-02-13
1036,Ajay_36,HR,Chennai,83000,2022-06-01
1037,Riya_37,Marketing,Hyderabad,73000,2019-11-27
1038,Divya_38,Sales,Hyderabad,94000,2020-10-25
1039,Neha_39,HR,Hyderabad,50000,2021-01-13
1040,Manoj_40,Sales,Hyderabad,81000,2023-12-04
1041,Kiran_41,Marketing,Bangalore,43000,2021-09-22
1042,Divya_42,Marketing,Bangalore,51000,2022-09-13
1043,Isha_43,Finance,Bangalore,94000,2021-12-16
1044,Ajay_44,IT,Mumbai,77000,2022-01-09
1045,Pooja_45,Finance,Delhi,63000,2022-08-23
1046,Meena_46,HR,Hyderabad,56000,2019-09-05
1047,Manoj_47,Marketing,Bangalore,72000,2019-02-13
